UserId	二级品类	会员创建日期	留存率分组	省	省市	销售日期	销售量
16912035829	喂养器具	2013/6/7 星期五 10:08:55	高留存率	SX	SXXA	2013/9/27 星期五	1
89412038421	喂养器具	2013/6/7 星期五 20:12:14	高留存率	SX	SXXA	2013/6/7 星期五	1
91512039560	喂养器具	2013/6/8 星期六 11:42:19	高留存率	SX	SXXA	2013/6/8 星期六	0
91512039560	喂养器具	2013/6/8 星期六 11:42:19	高留存率	SX	SXXA	2013/6/8 星期六	1
91512039560	喂养器具	2013/6/8 星期六 11:42:19	高留存率	SX	SXXA	2013/8/28 星期三	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2014/1/30 星期四	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/12/18 星期三	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/12/4 星期三	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	0
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	0
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	1
88012051340	喂养器具	2013/6/11 星期二 13:03:17	高留存率	SX	SXXA	2013/6/11 星期二	0
